InputID,TargetID,Distance
大望新平村,通宝楼,4080.04412489
大望新平村,翠岭苑,4672.50267205
大望新平村,培峰苑,5105.6492351
大望新平村,培峰苑,5105.6492351
大望新平村,培峰苑,5105.6492351
大望新平村,松泉公寓,5180.3705979
大望新平村,水库新村,5208.53752928
大望新平村,水库新村,5208.53752928
大望新平村,水库新村,5208.53752928
大望新平村,兴华苑,5956.08207908
大望新平村,愉天小区,5996.15664513
大望新平村,愉天小区,5996.15664513
大望新平村,金丽豪苑,6132.06517476
大望新平村,金丽豪苑,6132.06517476
大望新平村,嘉湖新都,6187.09645673
大望新平村,嘉湖新都,6187.09645673
大望新平村,嘉湖新都,6187.09645673
大望新平村,京基东方都会,6366.54166616
大望新平村,田贝花园,6534.63003373
大望新平村,田贝花园,6534.63003373
大望新平村,田贝花园,6534.63003373
大望新平村,田贝花园,6534.63003373
大望新平村,田贝花园,6534.63003373
大望新平村,罗湖区罗芳村,6658.2371712
大望新平村,东门E公馆,6727.83541894
大望新平村,虹桥星座,6922.67590949
大望新平村,虹桥星座,6922.67590949
大望新平村,京基东方华都,6963.68062895
大望新平村,京基东方华都,6963.68062895
大望新平村,田心村,7120.57229413
大望新平村,时尚新居,7166.09248833
大望新平村,新天地名居,7167.43496808
大望新平村,东门168,7208.74785534
大望新平村,东门168,7208.74785534
大望新平村,雅园公寓,7213.38369217
大望新平村,雅园公寓,7213.38369217
大望新平村,缤纷时代家园,7255.1670779
大望新平村,祥福雅居,7298.82693861
大望新平村,东门天下,7595.51060887
大望新平村,美园,7659.60443967
大望新平村,钻石时代,7735.88646212
大望新平村,湖润大厦,7800.9952486
大望新平村,湖润大厦,7800.9952486
大望新平村,长丰苑,7838.12072734
大望新平村,长丰苑,7838.12072734
大望新平村,金色都汇,8087.15806932
大望新平村,西湖大厦,8140.5360064
大望新平村,阳光新干线家园,8212.73187221
大望新平村,银座金钻,8238.80021583
大望新平村,星湖花园三期,8416.8095116
大望新平村,风格名苑,8451.68823571
大望新平村,海丰苑,8562.02900939
